11000|26|AW00011000||Jon|V|Yang|jon24@adventure-works.com|Bachelors
11001|37|AW00011001||Eugene|L|Huang|eugene10@adventure-works.com|Bachelors
11002|31|AW00011002||Ruben||Torres|ruben35@adventure-works.com|Bachelors
11003|11|AW00011003||Christy||Zhu|christy12@adventure-works.com|Bachelors
11004|19|AW00011004||Elizabeth||Johnson|elizabeth5@adventure-works.com|Bachelors
11005|22|AW00011005||Julio||Ruiz|julio1@adventure-works.com|Bachelors
11006|8|AW00011006||Janet|G|Alvarez|janet9@adventure-works.com|Bachelors
11007|40|AW00011007||Marco||Mehta|marco14@adventure-works.com|Bachelors
11008|32|AW00011008||Rob||Verhoff|rob4@adventure-works.com|Bachelors
11009|25|AW00011009||Shannon|C|Carlson|shannon38@adventure-works.com|Bachelors
11010|22|AW00011010||Jacquelyn|C|Suarez|jacquelyn20@adventure-works.com|Bachelors
11011|22|AW00011011||Curtis||Lu|curtis9@adventure-works.com|Bachelors
11012|611|AW00011012||Lauren|M|Walker|lauren41@adventure-works.com|Bachelors
11013|543|AW00011013||Ian|M|Jenkins|ian47@adventure-works.com|Bachelors
11014|634|AW00011014||Sydney||Bennett|sydney23@adventure-works.com|Bachelors
11015|301|AW00011015||Chloe||Young|chloe23@adventure-works.com|Partial College
11016|329|AW00011016||Wyatt|L|Hill|wyatt32@adventure-works.com|Partial College
11017|39|AW00011017||Shannon||Wang|shannon1@adventure-works.com|High School
11018|32|AW00011018||Clarence|D|Rai|clarence32@adventure-works.com|Partial College
11019|52|AW00011019||Luke|L|Lal|luke18@adventure-works.com|High School
11020|53|AW00011020||Jordan|C|King|jordan73@adventure-works.com|High School
11021|536|AW00011021||Destiny||Wilson|destiny7@adventure-works.com|Partial College
11022|609|AW00011022||Ethan|G|Zhang|ethan20@adventure-works.com|Partial College
11023|298|AW00011023||Seth|M|Edwards|seth46@adventure-works.com|Partial College
11024|311|AW00011024||Russell||Xie|russell7@adventure-works.com|Partial College
11025|24|AW00011025||Alejandro||Beck|alejandro45@adventure-works.com|Partial High School
11026|4|AW00011026||Harold||Sai|harold3@adventure-works.com|Partial College
11027|40|AW00011027||Jessie|R|Zhao|jessie16@adventure-works.com|Partial College
11028|17|AW00011028||Jill||Jimenez|jill13@adventure-works.com|Partial College
11029|32|AW00011029||Jimmy|L|Moreno|jimmy9@adventure-works.com|Partial College
11030|28|AW00011030||Bethany|G|Yuan|bethany10@adventure-works.com|Partial High School
11031|8|AW00011031||Theresa|G|Ramos|theresa13@adventure-works.com|High School
11032|35|AW00011032||Denise||Stone|denise10@adventure-works.com|High School
11033|9|AW00011033||Jaime||Nath|jaime41@adventure-works.com|High School
11034|12|AW00011034||Ebony||Gonzalez|ebony19@adventure-works.com|High School
11035|33|AW00011035||Wendy||Dominguez|wendy12@adventure-works.com|Partial High School
